Name,SN,Added to VUE?,Printed ID,Scientific Name,Order #,Min Delay (sec),Max Delay (sec),Est Battery Life (days),Step 1 Time (days),Transmitter Model,Temp Range,Temp Accuracy (oC),Temp Resolution (oC),Depth Range,Max Depth,Depth Accuracy (m),Depth Resolution (0.22),ID or P sensor ID,P Slope,P Intercept,T sensor ID,T Slope,T Intercept,Short Common Name,Batch,Floy Tag #,PIT Code,Total Length,Weight,Sex,Surgeon,Surgery Time,Volts,HZ,Shock Time,Duty %,Mode,Clove oil (ppm),Date Tagged,Year Tagged,Est. Battery Dead,Capture Location Easting,Capture Location Northing,Release Location Easting,Release Location Northing,First Detection,Location,Status,First Detection Date,Final Date,Bad P Sensor,Notes
Bass 236,1159702,Y,9891,Micropterus salmoides,14992,310,370,721,731,V7-4x,,,,,,,,A69-1601-9891,,,,,,Bass,July 2013,NA,982000190216896,236,240,?,Max,2:49,90,100,300,?,?,NA,12/07/2013,2013,03/Jul/2015,Embayment C,,Embayment C,,,,,,,,
Bass 271,1165689,Y,9705,Micropterus salmoides,15473,130,270,556,566,V9TP-2x,35 to -5 oC,0.5,0.15,0 to 50m,50,2.5,0.22,A69-9002-9705,0.2428,-0.8980,A69-9002-9704,0.1569,-5,Bass,July 2013,NA,982000190216843,271,338,?,Max,3:47,90,100,300,?,?,NA,12/07/2013,2013,19/Jan/2015,Embayment C,,Embayment C,,,,,,,,
Bass 278,1165693,Y,9713,Micropterus salmoides,15473,130,270,556,566,V9TP-2x,35 to -5 oC,0.5,0.15,0 to 50m,50,2.5,0.22,A69-9002-9713,0.2429,-0.8555,A69-9002-9712,0.1569,-5,Bass,July 2013,NA,982000190216845,278,340,?,Max,2:57,90,100,300,?,?,NA,12/07/2013,2013,19/Jan/2015,Embayment C,,Embayment C,,,,,,,,
Bass 233,1165682,Y,9691,Micropterus salmoides,15473,130,270,556,566,V9TP-2x,35 to -5 oC,0.5,0.15,0 to 50m,50,,,A69-9002-9691,0.2198,-0.8794,A69-9002-9690,0.1569,-5,Bass,,,,233,198,?,Max,2:59,100,90,?,?,,NA,30/09/2013,2013,09/Apr/2015,Embayment C,,,,,,,,,,
Pike 250,1159706,,9895,Esox lucius,14992,310,370,721,731,V7-4x,,,,,,,,A69-1601-9895,,,,,,Pike,,,,250,114,?,Max,2:41,NA,NA,NA,NA,,60,30/09/2013,2013,21/Sep/2015,Embayment C,,,,,,,,,,
Pike 254,1159698,,9684,Esox lucius,14907,310,370,721,731,V7-4x,,,,,,,,A69-1601-9684,,,,,,Pike,,,,254,104,?,Jon,2:15,NA,NA,NA,NA,,60,30/09/2013,2013,21/Sep/2015,Embayment C,,,,,,,,,,
Pike 257,1159708,,9897,Esox lucius,14992,310,370,721,731,V7-4x,,,,,,,,A69-1601-9897,,,,,,Pike,,,,257,90,?,Jon,1:35,NA,NA,NA,NA,,60,30/09/2013,2013,21/Sep/2015,Embayment C,,,,,,,,,,
Pike 268,1159720,Y,9909,Esox lucius,14992,310,370,721,731,V7-4x,,,,,,,,A69-1601-9909,,,,,,Pike,,,,268,130,?,Jon,1:20,NA,NA,NA,NA,,60,30/09/2013,2013,21/Sep/2015,Embayment C,,,,,,,,,,
Pike 274,1159713,,9902,Esox lucius,14992,310,370,721,731,V7-4x,,,,,,,,A69-1601-9902,,,,,,Pike,,,,274,112,?,Max,2:13,NA,NA,NA,NA,,60,30/09/2013,2013,21/Sep/2015,Embayment C,,,,,,,,,,
Pike 278,1159714,,9903,Esox lucius,14992,310,370,721,731,V7-4x,,,,,,,,A69-1601-9903,,,,,,Pike,,,,278,112,?,Max,2:01,NA,NA,NA,NA,,60,30/09/2013,2013,21/Sep/2015,Embayment C,,,,,,,,,,
Pike 279,1159707,,9907,Esox lucius,14992,310,370,721,731,V7-4x,,,,,,,,A69-1601-9907,,,,,,Pike,,,,279,136,?,Max,1:51,NA,NA,NA,NA,,60,30/09/2013,2013,21/Sep/2015,Embayment C,,,,,,,,,,
Pike 291,1159719,Y,9908,Esox lucius,14992,310,370,721,731,V7-4x,,,,,,,,A69-1601-9908,,,,,,Pike,,,,291,148,?,Jon,1:33,NA,NA,NA,NA,,60,30/09/2013,2013,21/Sep/2015,Embayment C,,,,,,,,,,
Pike 297,1159715,Y,9904,Esox lucius,14992,310,370,721,731,V7-4x,,,,,,,,A69-1601-9904,,,,,,Pike,,,,297,158,?,Max,2:16,NA,NA,NA,NA,,60,30/09/2013,2013,21/Sep/2015,Embayment C,,,,,,,,,,
Pike 298,1165694,,9715,Esox lucius,15473,130,270,556,566,V9TP-2x,35 to -5 oC,0.5,0.15,0 to 50m,50,,,A69-9002-9715,0.2198,-0.8794,A69-9002-9714,0.1569,-5,Pike,,,,298,178,?,Max,2:01,NA,NA,NA,NA,,60,30/09/2013,2013,09/Apr/2015,Embayment C,,,,,,,,,,
Pike 303,1159712,,9901,Esox lucius,14992,310,370,721,731,V7-4x,,,,,,,,A69-1601-9901,,,,,,Pike,,,,303,182,?,Jon,~3:00,NA,NA,NA,NA,,60,30/09/2013,2013,,Embayment C,,,,,,,,,,
Pike 316,1165685,,9697,Esox lucius,15473,130,270,556,566,V9TP-2x,35 to -5 oC,0.5,0.15,0 to 50m,50,,,A69-9002-9697,0.2198,-0.8794,A69-9002-9696,0.1569,-5,Pike,,,,316,174,?,Jon,2:13,NA,NA,NA,NA,,60,30/09/2013,2013,09/Apr/2015,Embayment C,,,,,,,,,,
Bass 218,1165680,Y,9687,Micropterus salmoides,15473,130,270,556,566,V9TP-2x,35 to -5 oC,0.5,0.15,0 to 50m,50,,,A69-9002-9687,0.2198,-0.8794,A69-9002-9686,0.1569,-5,Bass,,,,218,192,?,Jon,~3:00,100,90,?,?,,NA,01/10/2013,2013,10/Apr/2015,Cell 2,,,,,,,,,,
Bass 244b,1165695,Y,9717,Micropterus salmoides,15473,130,270,556,566,V9TP-2x,35 to -5 oC,0.5,0.15,0 to 50m,50,,,A69-9002-9717,0.2198,-0.8794,A69-9002-9716,0.1569,-5,Bass,,,,244,248,?,Jon,1:50,100,90,?,?,,NA,01/10/2013,2013,10/Apr/2015,Embayment C,,,,,,,,,,
Bass 246,1165690,Y,9707,Micropterus salmoides,15473,130,270,556,566,V9TP-2x,35 to -5 oC,0.5,0.15,0 to 50m,50,,,A69-9002-9707,0.2198,-0.8794,A69-9002-9706,0.1569,-5,Bass,,,,246,272,?,Jon,2:00,100,90,?,?,,NA,01/10/2013,2013,10/Apr/2015,Embayment C,,,,,,,,,,
Bass 275b,1165692,Y,9711,Micropterus salmoides,15473,130,270,556,566,V9TP-2x,35 to -5 oC,0.5,0.15,0 to 50m,50,,,A69-9002-9711,0.2198,-0.8794,A69-9002-9710,0.1569,-5,Bass,,,,275,372,?,Jon,~3:00,100,90,?,?,,NA,01/10/2013,2013,10/Apr/2015,Cell 2,,,,,,,,,,
Bass 295,1165679,Y,9685,Micropterus salmoides,15473,130,270,556,566,V9TP-2x,35 to -5 oC,0.5,0.15,0 to 50m,50,,,A69-9002-9685,0.2198,-0.8794,A69-9002-9684,0.1569,-5,Bass,,,,295,446,?,Jon,1:47,100,90,?,?,,NA,01/10/2013,2013,10/Apr/2015,Cell 2,,,,,,,,,,
Bass 305b,1165681,Y,9689,Micropterus salmoides,15473,130,270,556,566,V9TP-2x,35 to -5 oC,0.5,0.15,0 to 50m,50,,,A69-9002-9689,0.2198,-0.8794,A69-9002-9688,0.1569,-5,Bass,,,,305,598,?,Jon,~3:00,100,90,?,?,,NA,01/10/2013,2013,10/Apr/2015,Cell 2,,,,,,,,,,
Bass 320,1165687,Y,9701,Micropterus salmoides,15473,130,270,556,566,V9TP-2x,35 to -5 oC,0.5,0.15,0 to 50m,50,,,A69-9002-9701,0.2198,-0.8794,A69-9002-9700,0.1569,-5,Bass,,,,320,658,?,Jon,2:40,100,90,?,?,,NA,01/10/2013,2013,10/Apr/2015,Cell 2,,,,,,,,,,
Perch 161,1159697,Y,9683,Perca flavescens,14907,310,370,721,731,V7-4x,,,,,,,,A69-1601-9683,,,,,,Perch,,,,161,50,?,Jon,2:00,100,90,?,?,,NA,01/10/2013,2013,22/Sep/2015,Embayment C,,,,,,,,,,
Perch 172,1165701,Y,9023,Perca flavescens,15473,310,370,382,392,V7-4x,,,,,,,,A69-1601-9023,,,,,,Perch,,,,172,62,?,Jon,2:15,100,90,?,?,,NA,01/10/2013,2013,18/Oct/2014,Embayment C,,,,,,,,,,
Perch 176,1159701,Y,9687,Perca flavescens,14907,310,370,721,731,V7-4x,,,,,,,,A69-1601-9687,,,,,,Perch,,,,176,94,?,Jon,2:45,100,90,?,?,,NA,01/10/2013,2013,22/Sep/2015,Embayment C,,,,,,,,,,
Perch 254,1165699,Y,11739,Perca flavescens,15473,130,270,720,730,V9-2x,,,,,,,,A69-1601-11739,,,,,,Perch,,,,254,224,?,Jon,2:00,100,90,?,?,,NA,01/10/2013,2013,21/Sep/2015,Embayment C,,,,,,,,,,
Pike 319,1165678,,9683,Esox lucius,15473,130,270,556,566,V9TP-2x,35 to -5 oC,0.5,0.15,0 to 50m,50,,,A69-9002-9683,0.2198,-0.8794,A69-9002-9682,0.1569,-5,Pike,,,,319,200,?,Jon,2:00,NA,NA,NA,NA,,60,01/10/2013,2013,10/Apr/2015,Toronto Islands,,,,,,,,,,
Pike 328,1165686,Y,9699,Esox lucius,15473,130,270,556,566,V9TP-2x,35 to -5 oC,0.5,0.15,0 to 50m,50,,,A69-9002-9699,0.2198,-0.8794,A69-9002-9698,0.1569,-5,Pike,,,,328,212,?,Jon,2:15,NA,NA,NA,NA,,60,01/10/2013,2013,10/Apr/2015,Embayment C,,,,,,,,,,
Pike 349,1165691,Y,9709,Esox lucius,15473,130,270,556,566,V9TP-2x,35 to -5 oC,0.5,0.15,0 to 50m,50,,,A69-9002-9709,0.2198,-0.8794,A69-9002-9708,0.1569,-5,Pike,,,,349,236,?,Jon,2:00,NA,NA,NA,NA,,60,01/10/2013,2013,10/Apr/2015,Embayment C,,,,,,,,,,
Walleye 655,1139558,,14314,Sander vitreus,13110,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50m,50,,,A69-9002-14314,0.2198,-0.8794,A69-9002-14313,0.1569,-5,Walleye,,,,655,3370,?,Jon,4:00,100,90,?,?,,NA,01/10/2013,2013,23/Feb/2017,Cell 3,,,,,,,,,,
Carp 739,1096429,Y,3241,Cyprinus carpio,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3241,0.2198,-0.8794,,,,Carp,Fall 2010,25,,739,,,Nick,,,,,,,,09/09/2010,2010,05/Sep/2012,,,,,9/16/2010,Outside Embayment C,Transmitter died,,9/7/2012,no,"Left in Fall 2012, returned each summer, survived, moving in and out of harbour, last seen in Lake Ontario (station 53)"
Carp 741,1139557,Y,14311,Cyprinus carpio,13110,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-14312,0.2359,-0.8905,A69-9002-14311,0.1569,-5,Carp,Spring 2012,228,95b33d4,741,,Female,Nick,0:03:09,,,,,,,10/05/2012,2012,03/Oct/2015,630308,4830823,630314,4830805,,41 - Toronto Islands,Alive,5/11/2012,11/12/2012,No,
Perch 158,1159716,Y,9905,Perca flavescens,14992,310,370,721,731,V7-4x,,,,,,,,A69-1601-9905,,,,,,Perch,,,,158,48,?,Jon,~3:00,100,90,?,?,,NA,02/10/2013,2013,23/Sep/2015,Toronto Islands,,,,,,,,,,
Perch 160,1159699,Y,9685,Perca flavescens,14907,310,370,721,731,V7-4x,,,,,,,,A69-1601-9685,,,,,,Perch,,,,160,52,?,Max,2:00,100,90,?,?,,NA,02/10/2013,2013,23/Sep/2015,Embayment C,,,,,,,,,,
Perch 186,1165697,Y,11737,Perca flavescens,15473,130,270,720,730,V9-2x,,,,,,,,A69-1601-11737,,,,,,Perch,,,,186,84,?,Jon,2:00,340,?,?,50,Boat,NA,02/10/2013,2013,22/Sep/2015,Embayment C,,,,,,,,,,
Perch 187,1165698,Y,11738,Perca flavescens,15473,130,270,720,730,V9-2x,,,,,,,,A69-1601-11738,,,,,,Perch,,,,187,76,?,Jon,2:00,340,?,?,50,Boat,NA,02/10/2013,2013,22/Sep/2015,Embayment C,,,,,,,,,,
Perch 193,1165700,Y,11740,Perca flavescens,15473,130,270,720,730,V9-2x,,,,,,,,A69-1601-11740,,,,,,Perch,,,,193,96,?,Jon,2:00,340,?,?,50,Boat,NA,02/10/2013,2013,22/Sep/2015,Embayment C,,,,,,,,,,
Perch 198,1165696,Y,11736,Perca flavescens,15473,130,270,720,730,V9-2x,,,,,,,,A69-1601-11736,,,,,,Perch,,,,198,102,?,Jon,2:00,340,?,?,50,Boat,NA,02/10/2013,2013,22/Sep/2015,Embayment C,,,,,,,,,,
Pike 272,1165683,,9693,Esox lucius,15473,130,270,556,566,V9TP-2x,35 to -5 oC,0.5,0.15,0 to 50m,50,,,A69-9002-9693,0.2198,-0.8794,A69-9002-9692,0.1569,-5,Pike,,,,272,142,?,Max,2:17,NA,NA,NA,NA,,60,02/10/2013,2013,11/Apr/2015,Embayment C,,,,,,,,,,
Pike 346,1165684,,9695,Esox lucius,15473,130,270,556,566,V9TP-2x,35 to -5 oC,0.5,0.15,0 to 50m,50,,,A69-9002-9695,0.2198,-0.8794,A69-9002-9694,0.1569,-5,Pike,,,,346,244,?,Max,3:47,NA,NA,NA,NA,,60,02/10/2013,2013,11/Apr/2015,Embayment C,,,,,,,,,,
Bass 417,1222433,Y,1976,Micropterus salmoides,19671,90,180,353,370,V13A-1x,,,,,,,,A69-9004-1976,,,,,,Bass,,,9884,417,1250,,,,,,,,,,24/08/2015,2015,11/Aug/2016,,,,,,,,,,,
Carp 742,1096448,Y,3260,Cyprinus carpio,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3260,0.2198,-0.8794,,,,Carp,Fall 2010,55,,742,,,Nick,,,,,,,,08/09/2010,2010,04/Sep/2012,,,,,9/8/2010,2 - Cherry Beach,Missing,6/5/2011,6/5/2011,Unknown,Last seen in June in Emb C.
Carp 750,1070700,Y,6,Cyprinus carpio,8129,45,135,865,875,V13TP-1x,0 to 40 oC,0.5,0.15,0 to 100 m,100,5,0.44,A69-1105-6,0.4397,-1.7587,A69-1105-5,0.1569,0,Carp,Fall 2010,100,,750,,,Nick,,,,,,,,07/09/2010,2010,19/Jan/2013,,,,,9/7/2010,Outside Embayment C,Emmigrated,10/8/2010,10/8/2010,Unknown,Not seen since Oct 2010 - left harbour
Carp 750b,1222411,Y,57140,Cyprinus carpio,19671,130,270,1825,1830,V13-1x,,,,,,,,A69-1601-57140,,,,,,Carp,,,9457,750,5100,,,,,,,,,,24/08/2015,2015,22/Aug/2020,,,,,,,,,,,
Carp 773,1096452,Y,3264,Cyprinus carpio,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3264,0.2198,-0.8794,,,,Carp,Fall 2010,65,,773,,,Nick,,,,,,,,08/09/2010,2010,04/Sep/2012,,,,,9/8/2010,Embayment C,Transmitter died,,9/13/2012,no,Survived and remained in harbour
Carp 775,1096451,Y,3263,Cyprinus carpio,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3263,0.2198,-0.8794,,,,Carp,Fall 2010,60,,775,,,Nick,,,,,,,,08/09/2010,2010,04/Sep/2012,,,,,9/10/2010,Embayment C,Transmitter died,,9/14/2012,no,Survived and remained in harbour
Pike 684,1222431,Y,1974,Esox lucius,19671,90,180,353,370,V13A-1x,,,,,,,,A69-9004-1974,,,,,,Pike,,,9860,684,2000,,,,,,,,,,24/08/2015,2015,11/Aug/2016,,,,,,,,,,,
Pike 735,1222430,Y,1973,Esox lucius,19671,90,180,353,370,V13A-1x,,,,,,,,A69-9004-1973,,,,,,Pike,,,7465,735,2550,,,,,,,,,,24/08/2015,2015,11/Aug/2016,,,,,,,,,,,
Bass 365,1222432,Y,1975,Micropterus salmoides,19671,90,180,353,370,V13A-1x,,,,,,,,A69-9004-1975,,,,,,Bass,,,7589,365,750,,,,,,,,,,25/08/2015,2015,12/Aug/2016,,,,,,,,,,,
Carp 790,1096428,Y,3240,Cyprinus carpio,10121,60,180,727,737,V13P-1x,,,,0 to 50 m,50,2.5,0.22,A69-9002-3240,0.2198,-0.8794,,,,Carp,Fall 2010,52,,790,,,Nick,,,,,,,,09/09/2010,2010,05/Sep/2012,,,,,14/9/2010,Embayment C,Emmigrated,,8/6/2011,no,Last seen at Don River Mouth
Carp 810,1096418,Y,3220,Cyprinus carpio,10121,60,180,815,825,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50 m,50,2.5,0.22,A69-9002-3221,0.2198,-0.8794,A69-9002-3220,0.1569,-5,Carp,Fall 2010,23,,810,,,Nick,,,,,,,,09/09/2010,2010,02/Dec/2012,,,,,9/22/2011,9 - Outside Embayment C,Alive,,11/15/2012,no,Survived and remained in harbour
Carp 854,1070702,Y,10,Cyprinus carpio,8129,45,135,865,875,V13TP-1x,0 to 40 oC,0.5,0.15,0 to 100 m,100,5,0.44,A69-1105-10,0.4397,-1.7587,A69-1105-9,0.1569,0,Carp,Fall 2010,75,,854,,,Nick,,,,,,,,08/09/2010,2010,20/Jan/2013,,,,,9/8/2010,Outside Embayment C,Emmigrated,,5/1/2012,no,"Left in fall 2010, returned briefly both summers"
