Name,SN,Added to VUE?,Printed ID,Scientific Name,Order #,Min Delay (sec),Max Delay (sec),Est Battery Life (days),Step 1 Time (days),Transmitter Model,Temp Range,Temp Accuracy (oC),Temp Resolution (oC),Depth Range,Max Depth,Depth Accuracy (m),Depth Resolution (0.22),ID or P sensor ID,P Slope,P Intercept,T sensor ID,T Slope,T Intercept,Short Common Name,Batch,Floy Tag #,PIT Code,Total Length,Weight,Sex,Surgeon,Surgery Time,Volts,HZ,Shock Time,Duty %,Mode,Clove oil (ppm),Date Tagged,Year Tagged,Est. Battery Dead,Capture Location Easting,Capture Location Northing,Release Location Easting,Release Location Northing,First Detection,Location,Status,First Detection Date,Final Date,Bad P Sensor,Notes
Carp 859,1374741,,4380,Cyprinus carpio,30998,130,270,1601,1601,V13TP-1x-BLU-1-0034m,,,,,,,,4381,0.1516,-0.6065,4380,0.1569,-5,,,,,859,,,Morgan,,,,,,,,10/13/2021 23:59,2021,,Embayment C,,,,,,Alive,,,,
Bass 249,1374742,,4382,Micropterus salmoides,30998,130,270,1601,1601,V13TP-1x-BLU-1-0034m,,,,,,,,4383,0.1516,-0.6065,4382,0.1569,-5,,,,,249,,,Morgan,,,,,,,,10/13/2021 23:59,2021,,Embayment C,,,,,10 - Embayment C,Dead,,12/24/2021,,
Bass 223,1374743,,4384,Micropterus salmoides,30998,130,270,1601,1601,V13TP-1x-BLU-1-0034m,,,,,,,,4385,0.1516,-0.6065,4384,0.1569,-5,,,,,223,,,Morgan,,,,,,,,10/13/2021 23:59,2021,,Embayment C,,,,,,Alive,,,,
Carp 795,1374744,,4356,Cyprinus carpio,30998,130,270,1601,1601,V13TP-1x-BLU-1-0034m,,,,,,,,4387,0.1516,-0.6065,4386,0.1569,-5,,,,,795,,,Morgan,,,,,,,,10/13/2021 23:59,2021,,Don River,,,,,,Alive,,,,
Carp 718,1374745,,4388,Cyprinus carpio,30998,130,270,1601,1601,V13TP-1x-BLU-1-0034m,,,,,,,,4389,0.1516,-0.6065,4388,0.1569,-5,,,,,718,,,Morgan,,,,,,,,10/13/2021 23:59,2021,,Don River,,,,,,Alive,,,,
Pike 563,1374746,,4390,Esox lucius,30998,130,270,1601,1601,V13TP-1x-BLU-1-0034m,,,,,,,,4391,0.1516,-0.6065,4390,0.1569,-5,,,,,563,,,Morgan,,,,,,,,10/14/2021 23:59,2021,,Toronto Islands,,,,,,Alive,,,,
Bass 240,1374747,,4392,Micropterus salmoides,30998,130,270,1601,1601,V13TP-1x-BLU-1-0034m,,,,,,,,4393,0.1516,-0.6065,4392,0.1569,-5,,,,,240,,,Morgan,,,,,,,,10/13/2021 23:59,2021,,Embayment C,,,,,,Faulty Tag?,,,,
Bass 239,1374748,,4394,Micropterus salmoides,30998,130,270,1601,1601,V13TP-1x-BLU-1-0034m,,,,,,,,4395,0.1516,-0.6065,4394,0.1569,-5,,,,,239,,,Morgan,,,,,,,,10/13/2021 23:59,2021,,Embayment C,,,,,,Alive,,,,
Bass 240b,1374749,,4396,Micropterus salmoides,30998,130,270,1601,1601,V13TP-1x-BLU-1-0034m,,,,,,,,4397,0.1516,-0.6065,4396,0.1569,-5,,,,,240,,,Morgan,,,,,,,,10/13/2021 23:59,2021,,Embayment C,,,,,,Alive,,,,
Carp 721,1374750,,4398,Cyprinus carpio,30998,130,270,1601,1601,V13TP-1x-BLU-1-0034m,,,,,,,,4399,0.1516,-0.6065,4398,0.1569,-5,,,,,721,,,Morgan,,,,,,,,10/13/2021 23:59,2021,,Don River,,,,,,Alive,,,,
Pike 274b,1374751,,4400,Esox lucius,30998,130,270,1601,1601,V13TP-1x-BLU-1-0034m,,,,,,,,4401,0.1516,-0.6065,4400,0.1569,-5,,,,,274,,,Morgan,,,,,,,,10/12/2021 23:59,2021,,Toronto Islands,,,,,,Dead,,3/3/2022,,
Bass 230,1374752,,4402,Micropterus salmoides,30998,130,270,1601,1601,V13TP-1x-BLU-1-0034m,,,,,,,,4403,0.1516,-0.6065,4402,0.1569,-5,,,,,230,,,Morgan,,,,,,,,10/12/2021 23:59,2021,,Toronto Islands,,,,,,Faulty Tag?,,,,
Bass 256,1374753,,4404,Micropterus salmoides,30998,130,270,1601,1601,V13TP-1x-BLU-1-0034m,,,,,,,,4405,0.1516,-0.6065,4404,0.1569,-5,,,,,256,,,Morgan,,,,,,,,10/12/2021 23:59,2021,,Toronto Islands,,,,,,Alive,,,,
Bass 288,1374754,,4406,Micropterus salmoides,30998,130,270,1601,1601,V13TP-1x-BLU-1-0034m,,,,,,,,4407,0.1516,-0.6065,4406,0.1569,-5,,,,,288,,,Morgan,,,,,,,,10/12/2021 23:59,2021,,Toronto Islands,,,,,,Alive,,,,
Pike 471b,1374755,,4408,Esox lucius,30998,130,270,1601,1601,V13TP-1x-BLU-1-0034m,,,,,,,,4409,0.1516,-0.6065,4408,0.1569,-5,,,,,471,,,Morgan,,,,,,,,10/12/2021 23:59,2021,,Toronto Islands,,,,,,Alive,,,,
Pike 485,1374756,,4410,Esox lucius,30998,130,270,1601,1601,V13TP-1x-BLU-1-0034m,,,,,,,,4411,0.1516,-0.6065,4410,0.1569,-5,,,,,485,,,Morgan,,,,,,,,10/12/2021 23:59,2021,,Toronto Islands,,,,,,Faulty Tag or Dead?,,,,
Pike 575,1267264,,32329,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1601-32329,,,,,,,,,,575,,,,,,,,,,,,2017,,,,,,,,Remove,,,,
Pike 815b,1248752,,52696,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1601-52696,,,,,,,,,,815,,,,,,,,,,,,2016,,,,,,,,Alive,,,,
Pike 879,1248753,,52697,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1601-52697,,,,,,,,,,879,,,,,,,,,,,,2016,,,,,,,,Alive,,,,
Pike 852,1248754,,52698,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1601-52698,,,,,,,,,,852,,,,,,,,,,,,2016,,,,,,,,Alive,,,,
Pike 868,1248755,,52699,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1601-52699,,,,,,,,,,868,,,,,,,,,,,,2016,,,,,,,,Alive,,,,Fake dets after 2019-06-01
Pike 731b,1248756,,52700,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1601-52700,,,,,,,,,,731,,,,,,,,,,,,2016,,,,,,,,Alive,,,,Fake dets in 2022
Pike 750,1248757,,52701,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1601-52701,,,,,,,,,,750,,,,,,,,,,,,2016,,,,,,,,Dead?,,,,Dead after 2019-05-01??
Pike 920,1248758,,52702,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1601-52702,,,,,,,,,,920,,,,,,,,,,,,2016,,,,,,,,Alive,,,,Fake dets after 2019-10-01
Pike 804,1248759,,52703,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1601-52703,,,,,,,,,,804,,,,,,,,,,,,2016,,,,,,,,Alive,,,,Fake dets after 2019-07-06
Carp 649,1248760,,52704,Cyprinus carpio,,,,,,V13-1x,,,,,,,,A69-1601-52704,,,,,,,,,,649,,,,,,,,,,,,2016,,,,,,,,Alive,,,,
Bass 414,1248761,,52705,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1601-52705,,,,,,,,,,414,,,,,,,,,,,,2016,,,,,,,,Alive,,,,
Bass 313,1302717,,14224,Micropterus salmoides,,,,,,V13P-1x,,,,,,,,A69-9006-14224,,,,,,,,,,313,,,,,,,,,,,,2018,,,,,,,,,,,,
Pike 860,1248762,,52706,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1601-52706,,,,,,,,,,860,,,,,,,,,,,,2016,,,,,,,,Dead,,,,Dead after 2017-11-01
Carp 702,1248763,,52707,Cyprinus carpio,,,,,,V13-1x,,,,,,,,A69-1601-52707,,,,,,,,,,702,,,,,,,,,,,,2016,,,,,,,,Alive- Emigrated,,,,
Carp 770b,1248764,,52708,Cyprinus carpio,,,,,,V13-1x,,,,,,,,A69-1601-52708,,,,,,,,,,750,,,,,,,,,,,,2016,,,,,,,,Alive,,,,
Bass 370,1248765,,52709,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1601-52709,,,,,,,,,,370,,,,,,,,,,,,2016,,,,,,,,Alive,,,,
Carp 652b,1248766,,52710,Cyprinus carpio,,,,,,V13-1x,,,,,,,,A69-1601-52710,,,,,,,,,,652,,,,,,,,,,,,2016,,,,,,,,Alive,,,,
Pike 730b,1248767,,52711,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1601-52711,,,,,,,,,,730,,,,,,,,,,,,2016,,,,,,,,Alive,,,,
Pike 903,1248769,,52713,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1601-52713,,,,,,,,,,903,,,,,,,,,,,,2016,,,,,,,,Alive- Emigrated?,,,,
Carp 805,1248771,,52715,Cyprinus carpio,,,,,,V13-1x,,,,,,,,A69-1601-52715,,,,,,,,,,805,,,,,,,,,,,,2016,,,,,,,,Alive- Emigrated,,,,
Pike 759,1248773,,52717,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1601-52717,,,,,,,,,,759,,,,,,,,,,,,2016,,,,,,,,Alive,,,,
Carp 664,1248777,,52721,Cyprinus carpio,,,,,,V13-1x,,,,,,,,A69-1601-52721,,,,,,,,,,664,,,,,,,,,,,,2016,,,,,,,,Alive- Emigrated,,,,
Bass 377,1302736,,14243,Micropterus salmoides,,,,,,V13P-1x,,,,,,,,A69-9006-14243,,,,,,,,,,377,,,,,,,,,,,,2018,,,,,,,,,,,,
Bass 387b,1248778,,52722,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1601-52722,,,,,,,,,,387,,,,,,,,,,,,2016,,,,,,,,Alive,,,,
Bass 381,1302718,,14225,Micropterus salmoides,,,,,,V13P-1x,,,,,,,,A69-9006-14225,,,,,,,,,,381,,,,,,,,,,,,2018,,,,,,,,,,,,
Pike 870,1248781,,52725,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1601-52725,,,,,,,,,,870,,,,,,,,,,,,2016,,,,,,,,Alive,,,,Fake dets after 2019-09-02
Carp 700,1248782,,52726,Cyprinus carpio,,,,,,V13-1x,,,,,,,,A69-1601-52726,,,,,,,,,,700,,,,,,,,,,,,2016,,,,,,,,Alive,,,,
Bass 460b,1248787,,52731,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1601-52731,,,,,,,,,,460,,,,,,,,,,,,2016,,,,,,,,Dead,,,,Died right away
Bass 440b,1248789,,52733,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1601-52733,,,,,,,,,,440,,,,,,,,,,,,2016,,,,,,,,Alive,,,,Fake dets after 2021-07-01
Bass 430b,1248790,,52734,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1601-52734,,,,,,,,,,430,,,,,,,,,,,,2016,,,,,,,,Alive,,,,
Bass 300,1248791,,52735,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1601-52735,,,,,,,,,,300,,,,,,,,,,,,2016,,,,,,,,Alive- Emigrated?,,,,
Bass 280,1248793,,52737,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1601-52737,,,,,,,,,,280,,,,,,,,,,,,2016,,,,,,,,Alive,,,,
Bass 315,1248794,,52738,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1601-52738,,,,,,,,,,315,,,,,,,,,,,,2016,,,,,,,,Alive,,,,
Bass 310,1248795,,52739,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1601-52739,,,,,,,,,,310,,,,,,,,,,,,2016,,,,,,,,Alive,,,,
Bass 490d,1248796,,52740,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1601-52740,,,,,,,,,,490,,,,,,,,,,,,2016,,,,,,,,Dead,,,,Dead after 2019-11-01
Bass 489,1302734,,14241,Micropterus salmoides,,,,,,V13P-1x,,,,,,,,A69-9006-14241,,,,,,,,,,489,,,,,,,,,,,,2018,,,,,,,,,,,,
Bass 280b,1248797,,52741,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1601-52741,,,,,,,,,,280,,,,,,,,,,,,2016,,,,,,,,Alive,,,,
Carp 448,1302724,,14231,Cyprinus carpio,,,,,,V13P-1x,,,,,,,,A69-9006-14231,,,,,,,,,,448,,,,,,,,,,,,2018,,,,,,,,,,,,
Carp 572,1302720,,14227,Cyprinus carpio,,,,,,V13P-1x,,,,,,,,A69-9006-14227,,,,,,,,,,572,,,,,,,,,,,,2018,,,,,,,,,,,,
Bass 295b,1248798,,52742,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1601-52742,,,,,,,,,,295,,,,,,,,,,,,2016,,,,,,,,Alive,,,,
Bass 451b,1248800,,52744,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1601-52744,,,,,,,,,,451,,,,,,,,,,,,2016,,,,,,,,Alive,,,,
Pike 840b,1248801,,52745,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1601-52745,,,,,,,,,,840,,,,,,,,,,,,2016,,,,,,,,Alive,,,,Fake  des after 2019-06-01
Pike 722,1267279,,13538,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1602-13538,,,,,,,,,,722,,,,,,,,,,,,2017,,,,,,,,Alive,,,,
Pike 648b,1267258,,32323,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1602-32323,,,,,,,,,,648,,,,,,,,,,,,2017,,,,,,,,Alive,,,,
Pike 750b,1267259,,32324,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1602-32324,,,,,,,,,,750,,,,,,,,,,,,2017,,,,,,,,Dead,,,,
Carp 651b,1302721,,14228,Cyprinus carpio,,,,,,V13P-1x,,,,,,,,A69-9006-14228,,,,,,,,,,651,,,,,,,,,,,,2018,,,,,,,,,,,,
Pike 781,1267260,,32325,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1602-32325,,,,,,,,,,781,,,,,,,,,,,,2017,,,,,,,,Dead,,,,
Pike 822,1267261,,32326,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1602-32326,,,,,,,,,,822,,,,,,,,,,,,2017,,,,,,,,Dead?,,,,
Carp 653b,1302722,,14229,Cyprinus carpio,,,,,,V13P-1x,,,,,,,,A69-9006-14229,,,,,,,,,,653,,,,,,,,,,,,2018,,,,,,,,,,,,
Pike 610,1267262,,32327,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1602-32327,,,,,,,,,,610,,,,,,,,,,,,2017,,,,,,,,Dead?,,,,
Pike 543,1267263,,32328,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1602-32328,,,,,,,,,,543,,,,,,,,,,,,2017,,,,,,,,??,,,,
Pike 491,1267265,,32330,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1602-32330,,,,,,,,,,491,,,,,,,,,,,,2017,,,,,,,,Alive,,,,
Carp 679,1302725,,14232,Cyprinus carpio,,,,,,V13P-1x,,,,,,,,A69-9006-14232,,,,,,,,,,679,,,,,,,,,,,,2018,,,,,,,,,,,,
Pike 744,1267267,,32332,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1602-32332,,,,,,,,,,744,,,,,,,,,,,,2017,,,,,,,,Dead?,,,,Dead after 2019-02-01???
Pike 645,1267268,,32333,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1602-32333,,,,,,,,,,645,,,,,,,,,,,,2017,,,,,,,,Dead,,,,Dead
Pike 896b,1267269,,32334,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1602-32334,,,,,,,,,,896,,,,,,,,,,,,2017,,,,,,,,Alive- Emigrated?,,,,
Pike 659,1267270,,32335,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1602-32335,,,,,,,,,,659,,,,,,,,,,,,2017,,,,,,,,Alive,,,,
Pike 897b,1267271,,32336,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1602-32336,,,,,,,,,,897,,,,,,,,,,,,2017,,,,,,,,Alive,,,,
Pike 896c,1267272,,32337,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1602-32337,,,,,,,,,,896,,,,,,,,,,,,2017,,,,,,,,Alive- Emigrated?,,,,
Bass 417b,1267273,,32338,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1602-32338,,,,,,,,,,417,,,,,,,,,,,,2017,,,,,,,,Alive,,,,Fake dets after 2019-10-01
Bass 454c,1267274,,32339,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1602-32339,,,,,,,,,,454,,,,,,,,,,,,2017,,,,,,,,Alive- Emigrated?,,,,Was hanging out near exhibition
Carp 785,1302726,,14233,Cyprinus carpio,,,,,,V13P-1x,,,,,,,,A69-9006-14233,,,,,,,,,,785,,,,,,,,,,,,2018,,,,,,,,,,,,
Bass 378,1267275,,32340,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1602-32340,,,,,,,,,,378,,,,,,,,,,,,2017,,,,,,,,Dead,,9/18/2019,,Fake dets after 2019-09-18
Pike 777b,1267277,,32342,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1602-32342,,,,,,,,,,777,,,,,,,,,,,,2017,,,,,,,,Alive,,,,
Pike 695,1267278,,32343,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1602-32343,,,,,,,,,,695,,,,,,,,,,,,2017,,,,,,,,Alive- Emigrated?,,,,
Carp 612,1267280,,32345,Cyprinus carpio,,,,,,V13-1x,,,,,,,,A69-1602-32345,,,,,,,,,,612,,,,,,,,,,,,2017,,,,,,,,Alive- Emigrated,,,,
Pike 562,1302728,,14235,Esox lucius,,,,,,V13P-1x,,,,,,,,A69-9006-14235,,,,,,,,,,562,,,,,,,,,,,,2018,,,,,,,,,,,,
Carp 744,1267282,,32347,Cyprinus carpio,,,,,,V13-1x,,,,,,,,A69-1602-32347,,,,,,,,,,744,,,,,,,,,,,,2017,,,,,,,,Alive- Emigrated,,,,
Carp 685,1267283,,32348,Cyprinus carpio,,,,,,V13-1x,,,,,,,,A69-1602-32348,,,,,,,,,,685,,,,,,,,,,,,2017,,,,,,,,Alive- Emigrated,,,,
Carp 653,1267284,,32349,Cyprinus carpio,,,,,,V13-1x,,,,,,,,A69-1602-32349,,,,,,,,,,653,,,,,,,,,,,,2017,,,,,,,,Alive,,,,
Carp 605,1267285,,32350,Cyprinus carpio,,,,,,V13-1x,,,,,,,,A69-1602-32350,,,,,,,,,,605,,,,,,,,,,,,2017,,,,,,,,Alive,,,,
Pike 613,1302731,,14238,Esox lucius,,,,,,V13P-1x,,,,,,,,A69-9006-14238,,,,,,,,,,613,,,,,,,,,,,,2018,,,,,,,,,,,,
Pike 626,1302732,,14239,Esox lucius,,,,,,V13P-1x,,,,,,,,A69-9006-14239,,,,,,,,,,626,,,,,,,,,,,,2018,,,,,,,,,,,,
Carp 698,1267286,,32351,Cyprinus carpio,,,,,,V13-1x,,,,,,,,A69-1602-32351,,,,,,,,,,698,,,,,,,,,,,,2017,,,,,,,,Alive- Emigrated,,,,
Carp 655,1267287,,32352,Cyprinus carpio,,,,,,V13-1x,,,,,,,,A69-1602-32352,,,,,,,,,,655,,,,,,,,,,,,2017,,,,,,,,Alive- Emigrated,,,,
Bass 299,1267288,,32353,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1602-32353,,,,,,,,,,299,,,,,,,,,,,,2017,,,,,,,,Alive,,,,
Carp 647,1267289,,32354,Cyprinus carpio,,,,,,V13-1x,,,,,,,,A69-1602-32354,,,,,,,,,,647,,,,,,,,,,,,2017,,,,,,,,Alive- Emigrated,,,,
Pike 655c,1302723,,14230,Esox lucius,,,,,,V13P-1x,,,,,,,,A69-9006-14230,,,,,,,,,,655,,,,,,,,,,,,2018,,,,,,,,,,,,
Carp 704,1267290,,32355,Cyprinus carpio,,,,,,V13-1x,,,,,,,,A69-1602-32355,,,,,,,,,,704,,,,,,,,,,,,2017,,,,,,,,Alive- Emigrated,,,,
Bass 276,1267291,,32356,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1602-32356,,,,,,,,,,276,,,,,,,,,,,,2017,,,,,,,,Alive,,,,
Pike 690b,1302730,,14237,Esox lucius,,,,,,V13P-1x,,,,,,,,A69-9006-14237,,,,,,,,,,690,,,,,,,,,,,,2018,,,,,,,,,,,,
Bass 253,1267292,,32357,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1602-32357,,,,,,,,,,253,,,,,,,,,,,,2017,,,,,,,,Alive,,,,
Pike 718,1302719,,14226,Esox lucius,,,,,,V13P-1x,,,,,,,,A69-9006-14226,,,,,,,,,,718,,,,,,,,,,,,2018,,,,,,,,,,,,
Bass 362b,1267294,,32359,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1602-32359,,,,,,,,,,362,,,,,,,,,,,,2017,,,,,,,,Alive,,,,Fake dets after 2022-01-01
Bass 263,1267299,,32364,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1602-32364,,,,,,,,,,263,,,,,,,,,,,,2017,,,,,,,,Alive,,,,
Bass 318,1267300,,32365,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1602-32365,,,,,,,,,,318,,,,,,,,,,,,2017,,,,,,,,Alive,,,,
Pike 728,1302735,,14242,Esox lucius,,,,,,V13P-1x,,,,,,,,A69-9006-14242,,,,,,,,,,728,,,,,,,,,,,,2018,,,,,,,,,,,,
Pike 729b,1302727,,14234,Esox lucius,,,,,,V13P-1x,,,,,,,,A69-9006-14234,,,,,,,,,,729,,,,,,,,,,,,2018,,,,,,,,,,,,
Bass 348,1267303,,32368,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1602-32368,,,,,,,,,,348,,,,,,,,,,,,2017,,,,,,,,Alive,,,,
Bass 447,1267305,,32370,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1602-32370,,,,,,,,,,447,,,,,,,,,,,,2017,,,,,,,,Alive,,,,
Bass 331,1267306,,32371,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1602-32371,,,,,,,,,,331,,,,,,,,,,,,2017,,,,,,,,Alive,,,,
Bass 286,1267307,,32372,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1602-32372,,,,,,,,,,286,,,,,,,,,,,,2017,,,,,,,,Alive,,,,
Bass 310b,1267308,,32373,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1602-32373,,,,,,,,,,310,,,,,,,,,,,,2017,,,,,,,,Alive,,,,
Bass 330,1267314,,32379,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1602-32379,,,,,,,,,,330,,,,,,,,,,,,2017,,,,,,,,Alive,,,,
Bass 353,1267315,,32380,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1602-32380,,,,,,,,,,353,,,,,,,,,,,,2017,,,,,,,,Alive,,,,
Bass 376,1267316,,32381,Micropterus salmoides,,,,,,V13-1x,,,,,,,,A69-1602-32381,,,,,,,,,,376,,,,,,,,,,,,2017,,,,,,,,Alive,,,,Fake dets after 2020-03-01
Pike 593,1248770,,52714,Esox lucius,,,,,,V13-1x,,,,,,,,A69-1602-52714,,,,,,,,,,593,,,,,,,,,,,,2016,,,,,,,,No dets,,,,
Bass 313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alive,,,,
Bass 381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alive??,,,,Went to Hamilton???? Within plausible timeframe
Carp 448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dead,,,,Dead after 2020-09-01
Carp 572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Remove,,,,
Carp 653b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alive,,,,
Carp 679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alive,,,,
Carp 785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alive,,,,
Pike 562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alive,,,,
Pike 613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alive-Emigrated,,,,
Pike 626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alive,,,,
Pike 655c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alive,,,,
Pike 690b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alive- Emigrated?,,,,
Pike 718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alive- Emigrated?,,,,
Pike 728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alive,,,,
Pike 729b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alive,,,,
